Zone,PULocationID,Prediction,True Value
Allerton/Pelham Gardens,3,69.26668548583984,65.0
Alphabet City,4,52.73054122924805,45.0
Arden Heights,5,7.068184852600098,5.0
Arrochar/Fort Wadsworth,6,9.773191452026367,13.0
Astoria,7,158.79905700683594,190.0
Astoria Park,8,0.9996025562286377,1.0
Auburndale,9,22.391366958618164,23.0
Baisley Park,10,66.76285552978516,87.0
Bath Beach,11,21.129880905151367,23.0
Battery Park,12,0.9138659834861755,8.0
Battery Park City,13,65.17483520507812,85.0
Bay Ridge,14,122.42298889160156,136.0
Bay Terrace/Fort Totten,15,14.778076171875,15.0
Bayside,16,39.35081481933594,44.0
Bedford,17,191.56329345703125,210.0
Bedford Park,18,117.04835510253906,122.0
Bellerose,19,22.5595760345459,18.0
Belmont,20,81.1296157836914,93.0
Bensonhurst East,21,65.24469757080078,64.0
Bensonhurst West,22,76.17200469970703,99.0
Bloomfield/Emerson Hill,23,44.638816833496094,48.0
Bloomingdale,24,23.400983810424805,33.0
Boerum Hill,25,132.61753845214844,102.0
Borough Park,26,215.59820556640625,155.0
Breezy Point/Fort Tilden/Riis Beach,27,0.03986472636461258,3.0
Briarwood/Jamaica Hills,28,66.7048568725586,56.0
Brighton Beach,29,47.6369514465332,59.0
Broad Channel,30,1.1092795133590698,1.0
Bronx Park,31,2.394054889678955,14.0
Bronxdale,32,61.30573272705078,70.0
Brooklyn Heights,33,85.95196533203125,97.0
Brooklyn Navy Yard,34,17.20619010925293,25.0
Brownsville,35,212.3081817626953,216.0
Bushwick North,36,135.32496643066406,149.0
Bushwick South,37,196.1315155029297,232.0
Cambria Heights,38,27.933523178100586,23.0
Canarsie,39,190.4507598876953,219.0
Carroll Gardens,40,40.0201530456543,43.0
Central Harlem,41,143.46792602539062,168.0
Central Harlem North,42,221.75442504882812,230.0
Central Park,43,43.04974365234375,52.0
Charleston/Tottenville,44,9.020262718200684,9.0
Chinatown,45,37.806007385253906,40.0
Claremont/Bathgate,47,94.41735076904297,118.0
Clinton East,48,180.30816650390625,126.0
Clinton Hill,49,137.68264770507812,123.0
Clinton West,50,103.12950897216797,87.0
Co-Op City,51,83.36241149902344,116.0
Cobble Hill,52,23.13088607788086,32.0
College Point,53,25.85542869567871,36.0
Columbia Street,54,11.348167419433594,18.0
Coney Island,55,78.55045318603516,73.0
Corona,56,33.289180755615234,36.5
Country Club,58,7.928056240081787,3.0
Crotona Park,59,1.5079598426818848,7.0
Crotona Park East,60,57.504974365234375,72.0
Crown Heights North,61,352.90850830078125,366.0
Crown Heights South,62,126.04444885253906,118.0
Cypress Hills,63,75.76231384277344,92.0
DUMBO/Vinegar Hill,66,58.00040817260742,74.0
Douglaston,64,13.527374267578125,14.0
Downtown Brooklyn/MetroTech,65,83.15081024169922,88.0
Dyker Heights,67,23.63212776184082,42.0
East Chelsea,68,138.99903869628906,130.0
East Concourse/Concourse Village,69,113.8689193725586,117.0
East Elmhurst,70,40.3989143371582,33.0
East Flatbush/Farragut,71,136.9890594482422,147.0
East Flatbush/Remsen Village,72,130.5120849609375,156.0
East Flushing,73,20.260662078857422,25.0
East Harlem North,74,197.10855102539062,175.0
East Harlem South,75,192.46237182617188,172.0
East New York,76,314.27471923828125,379.0
East New York/Pennsylvania Avenue,77,97.38460540771484,98.0
East Tremont,78,124.12409973144531,96.0
East Village,79,199.00765991210938,132.0
East Williamsburg,80,84.08007049560547,133.0
Eastchester,81,84.98358154296875,88.0
Elmhurst,82,155.113525390625,197.0
Elmhurst/Maspeth,83,34.34150695800781,34.0
Eltingville/Annadale/Prince's Bay,84,5.042585849761963,11.0
Erasmus,85,88.29839324951172,87.0
Far Rockaway,86,66.92420959472656,62.0
Financial District North,87,103.25016021728516,123.0
Financial District South,88,17.031068801879883,36.0
